scorer,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000
bodyparts,B1,B1,B1,B2,B2,B2,B3,B3,B3,B4,B4,B4,T1,T1,T1,T2,T2,T2,T3,T3,T3,T4,T4,T4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
15,274.76431024074554,527.5897512435913,0.9999266862869263,187.97414425201714,463.07084035873413,0.9999998807907104,281.8146071434021,459.94719897955656,0.9999995231628418,388.15661266446114,535.7014701366425,0.9999998807907104,391.57672452926636,533.0862503051758,0.004382731858640909,254.7914113998413,349.1350808143616,1.0,348.8829405903816,337.10168266296387,1.0,441.9460654258728,420.5298212170601,1.0
16,272.1242895126343,526.1301698684692,0.9997294545173645,195.02226984500885,470.88924264907837,1.0,290.8994768857956,469.26859855651855,1.0,395.47067576646805,534.0058326721191,0.999998927116394,400.87361216545105,532.3866015672684,0.0032398905605077744,253.4639106988907,353.01720666885376,1.0,349.3629422187805,341.58530938625336,1.0,443.7234753668308,417.3223581314087,1.0
17,268.5328869819641,526.6001281738281,0.9993107318878174,203.3131102323532,479.19639110565186,0.9999998807907104,300.1185409426689,476.70387786626816,0.9999997615814209,403.1170357465744,533.910875082016,0.9999998807907104,244.36652466654778,354.1317319869995,0.002286110306158662,252.70074570178986,356.83230274915695,1.0,349.8157172203064,347.0553067922592,0.9999994039535522,443.1890489459038,415.89697647094727,1.0
18,271.70745754241943,529.1099367141724,0.9977766871452332,210.12856006622314,485.1255536079407,1.0,308.0360561683774,483.02231669425964,1.0,409.14118242263794,532.2743495702744,0.9999998807907104,245.09666693210602,355.84403966367245,0.0021001948043704033,253.83328104019165,361.19491147994995,1.0,349.74957954883575,350.8171443939209,0.9999998807907104,444.46318501234055,414.1175265312195,1.0
19,273.8272912502289,530.9765410423279,0.08958857506513596,219.18367797136307,491.86195604503155,0.9999960660934448,316.39444321393967,490.2840156555176,0.9999997615814209,415.9760961532593,530.991595864296,0.9999998807907104,251.64193412661552,358.7617607116699,0.0013903453946113586,255.74228954315186,365.32965064048767,1.0,351.26855397224426,356.5507091283798,1.0,446.23367190361023,412.448264926672,0.9999998807907104
20,276.7512607574463,532.5808145999908,0.007347662467509508,225.98912835121155,498.11844432353973,1.0,324.39574909210205,496.8938076496124,1.0,423.06759691238403,531.9559711106122,1.0,251.47000855207443,374.91211557388306,0.001120137283578515,257.05900263786316,370.1820503473282,1.0,354.48179388046265,362.15903759002686,1.0,447.859658241272,411.14717096090317,1.0
21,265.4583969116211,381.39423072338104,0.0007046889513731003,234.58134329319,504.41789388656616,0.9999995231628418,333.25041806697845,504.1106081008911,0.9999998807907104,430.9143235683441,531.2331413626671,0.9999995231628418,252.08059488236904,372.77103888988495,0.0010360028827562928,259.1324545145035,375.97786927223206,1.0,356.2101017534733,368.81227684020996,1.0,450.1596747636795,409.1405954360962,1.0
22,433.72421741485596,532.9468078613281,0.0018883690936490893,243.25380462408066,511.87087059020996,1.0,342.51198625564575,511.9988751411438,1.0,436.8390315771103,532.0616375133395,1.0,259.4104126095772,372.7632256746292,0.000731484149582684,262.3530921936035,381.7634974718094,1.0,359.16866540908813,375.7236096858978,1.0,452.2474034279585,408.7849612236023,1.0
23,437.96624171733856,532.331551015377,0.001485234359279275,252.175252571702,517.1265797615051,0.9999998807907104,350.2737030982971,519.1841857433319,0.9999996423721313,444.2830927371979,529.9660248756409,0.9999996423721313,259.2940018773079,385.95014810562134,0.003662836505100131,264.79432439804077,388.3267429471016,0.9999998807907104,361.4493520259857,383.96470880508423,1.0,453.2529195547104,408.4171781539917,1.0
24,264.88033413887024,535.4207577705383,0.0013561807572841644,261.610955119133,524.1570626795292,0.9999998807907104,358.6132791042328,527.7867021560669,0.9999997615814209,450.2373296022415,531.0851259231567,1.0,266.9267647266388,389.99620163440704,0.002763687167316675,267.63138550519943,396.82599514722824,0.9999985694885254,365.60836839675903,392.1430597305298,0.9999998807907104,454.31509804725647,410.3126653432846,1.0
