scorer,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000
bodyparts,B1,B1,B1,B2,B2,B2,B3,B3,B3,B4,B4,B4,T1,T1,T1,T2,T2,T2,T3,T3,T3,T4,T4,T4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
15,619.2578336000443,490.2220973968506,0.9999997615814209,546.6794993877411,491.21185702085495,0.0018985603237524629,512.927050113678,470.9333257675171,0.9986671209335327,539.0209834575653,491.4020479917526,0.9999991655349731,626.9627215862274,408.6245913505554,1.0,568.5037479400635,391.5757508277893,0.003432302502915263,519.7854087352753,390.84074807167053,0.9999961853027344,547.6219309270382,404.17107647657394,1.0
16,625.4170117378235,488.2613410949707,1.0,634.1732530593872,490.12985599040985,0.0030252679716795683,514.9814019203186,472.5357165336609,0.9999988079071045,544.2679452896118,488.6814398765564,0.9999998807907104,630.5670294761658,406.1399028301239,1.0,565.2368640899658,391.1149106025696,0.009480370208621025,523.1635860800743,392.69026160240173,0.9999897480010986,553.1651663780212,400.81851506233215,1.0
17,630.1325526237488,487.1753234863281,1.0,561.7097373008728,485.6989140510559,0.000966196705121547,519.2831637859344,473.7875728607178,0.9999940395355225,552.0015325546265,484.99371814727783,1.0,636.6436330080032,403.1865903735161,1.0,639.8549544811249,406.62524461746216,0.0006376468227244914,527.6840672492981,392.2904176712036,0.9999805688858032,556.5054839253426,396.6262010335922,0.999998927116394
18,636.8289827108383,484.96883875131607,1.0,641.5107169151306,402.55062770843506,0.00041999449604190886,525.2667731046677,474.9620170593262,0.9999233484268188,557.1808578968048,482.7609167098999,1.0,639.7379829883575,402.61523401737213,1.0,516.7609910964966,472.4542832374573,0.00041244804742746055,529.9327085018158,393.3227319717407,0.9999992847442627,561.1492524147034,394.35305893421173,1.0
19,640.1594367027283,483.52076533436775,1.0,650.9739348888397,478.6881494522095,0.00154598755761981,528.190685749054,476.2307190448046,0.9999922513961792,561.9263288974762,481.4745252132416,1.0,644.4816226661205,399.77393651008606,1.0,655.4341492652893,397.7618736028671,0.0011370828142389655,532.0507154092193,396.0328811481595,0.9999998807907104,564.7330083847046,391.64268612861633,1.0
20,646.2556600570679,481.6636493206024,1.0,578.8813920021057,478.96126437187195,0.00101442018058151,532.5915119051933,479.18721556663513,0.9999960660934448,567.0931351184845,478.7538938522339,1.0,648.0658674240112,397.84804344177246,0.9999998807907104,575.5870027542114,384.1717300415039,0.0007019028416834772,533.7933855056763,398.9217050075531,0.9999997615814209,568.2521390914917,388.9756352901459,1.0
21,651.4825835824013,479.6776514053345,0.9999998807907104,580.7018387317657,475.9181035608053,0.0012237768387421966,537.2678184509277,481.22045946121216,0.9999972581863403,572.3476341664791,477.1019800901413,0.9999988079071045,651.5984672307968,395.36659848690033,0.9999994039535522,578.4873394966125,381.1092019081116,0.002306938637048006,536.1260318756104,401.6877131462097,0.9999998807907104,572.8388252854347,387.2837007045746,1.0
22,656.1933603286743,477.85530173778534,0.9999998807907104,668.0298328734934,477.2958400249481,0.0013401958858594298,540.2647054493427,484.3247603774071,0.9999996423721313,576.994966506958,475.96879096515477,1.0,653.4420775175095,393.6598515510559,0.9999996423721313,580.0039376504719,383.0956907272339,0.0034466851502656937,537.304096698761,404.599112868309,0.9999998807907104,577.1370859146118,384.35082054138184,1.0
23,661.426745891571,474.5292910337448,1.0,593.8878312110901,472.378378868103,0.002836753847077489,543.5905337333679,487.6298289299011,0.9999998807907104,582.3578617572784,472.93752431869507,1.0,656.3582825660706,392.61753273010254,1.0,580.82630443573,383.8128328323364,0.0006657273625023663,538.9568920135498,406.0542209148407,1.0,578.3103594779968,383.84145402908325,1.0
24,665.0816569328308,472.2041835784912,0.9999998807907104,595.5824092328548,467.62509059906006,0.0015651427675038576,547.5139498114586,491.02654725313187,0.9999997615814209,586.3108032941818,470.37277579307556,1.0,658.4622806310654,391.2455596923828,1.0,580.9113597869873,386.1008380651474,0.0007208781898953021,540.7358636856079,408.49239683151245,0.9999998807907104,580.3308265805244,383.1175479888916,1.0
