scorer,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000,DeepCut_resnet50_RubiksCubeJul27shuffle1_600000
bodyparts,B1,B1,B1,B2,B2,B2,B3,B3,B3,B4,B4,B4,T1,T1,T1,T2,T2,T2,T3,T3,T3,T4,T4,T4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
15,754.4285691976547,751.9517350196838,0.002263010246679187,751.5961437225342,744.7859959602356,0.00044989187153987586,756.2044076919556,752.7044143676758,0.0016068904660642147,1266.2661199569702,156.03459187969565,0.02878637984395027,614.5909767150879,707.1145148277283,1.0,664.3888039588928,799.6713004112244,0.9999991655349731,754.1951429843903,745.9382376670837,1.0,701.4478608369827,656.0953023433685,1.0
16,752.6929221153259,750.9989123344421,0.002837813924998045,656.7157034873962,805.5844011306763,0.0007221795385703444,752.5231256484985,749.4075344800949,0.0020881968084722757,1266.253938794136,155.99446192895994,0.03842833638191223,608.3157157897949,706.7695962190628,1.0,660.1469620317221,798.8591055870056,1.0,749.5982065200806,743.1528553962708,1.0,695.4408419132233,654.9234805107117,1.0
17,750.9938249588013,748.2724533677101,0.0007777475984767079,660.6205673217773,803.6367702484131,0.0008204326150007546,750.2515392303467,750.4002780914307,0.0014480829704552889,1266.7027572393417,155.59890854358673,0.01343697588890791,603.2104640603065,706.9076737165451,1.0,656.221088886261,798.3750545978546,0.9999998807907104,744.7662200927734,743.0639057159424,1.0,690.0266748666763,654.1820430755615,1.0
18,739.053804397583,744.9429633617401,0.000566912698559463,738.9037709236145,733.5652861595154,0.0008493561181239784,742.1226081848145,748.8057849407196,0.0011088812025263906,1266.6211401224136,155.7972393631935,0.004578603897243738,599.1019990444183,705.8629896640778,1.0,650.918092250824,796.9040754437447,0.9999991655349731,740.2183326035738,739.9327450841665,1.0,684.9698797464371,651.7690729945898,0.9999997615814209
19,737.6216700077057,743.9159169197083,0.0007785343332216144,688.7204084396362,650.6654416322708,0.00034065594081766903,737.9041166305542,742.748126745224,0.0012956797145307064,647.6580278873444,798.7421321868896,0.003466455964371562,594.6978245973587,705.7521104812622,1.0,647.8678677082062,794.3642071485519,0.9999998807907104,735.503669500351,737.7640881538391,1.0,679.6995871067047,649.3958759307861,1.0
20,589.7428789138794,706.2646627426147,0.000588270602747798,726.1008567810059,731.3902484178543,0.0003431553777772933,734.7892394065857,743.9122207164764,0.000590381445363164,645.9511935710907,797.9849147796631,0.003429410047829151,591.1997694969177,703.3118352890015,0.9999998807907104,644.0253415163606,792.2808818817139,1.0,732.259183973074,735.0852589607239,1.0,675.0305422544479,646.4095766544342,1.0
21,581.9029860496521,694.2205801010132,0.006839662790298462,722.4414238929749,728.957028388977,0.0004623496497515589,733.458550453186,737.499146938324,0.0015447954647243023,660.7889915704727,637.5442472696304,0.01664728671312332,586.9137854576111,701.3787341117859,0.9999997615814209,640.7507126331329,789.84044277668,1.0,728.0925669670105,731.0559991598129,1.0,670.9270186424255,643.4625405669212,1.0
22,577.5574378967285,687.8994336128235,0.2267666459083557,724.3686628341675,720.8589844703674,0.0006816902314312756,731.7063913345337,734.3731412887573,0.0006458181887865067,656.3444375991821,630.8899848461151,0.8346265554428101,583.6911749839783,699.2185499072075,1.0,639.2071022987366,785.8990457057953,1.0,725.0863614082336,727.1845750808716,1.0,669.1086020469666,641.8260705471039,1.0
23,573.9556330442429,678.0835244655609,0.9863385558128357,676.101725526154,648.1414341926575,0.0009968327358365059,724.3082251548767,731.510109603405,0.0011293961433693767,651.4210633635521,625.2660384178162,0.9994056224822998,579.9924804284237,697.6564254760742,1.0,635.927391692996,781.7715150117874,0.9999992847442627,721.2329998016357,722.6937838792801,1.0,665.7131810188293,640.2840006351471,0.9999998807907104
24,567.7778358459473,672.9148759841919,0.9999825954437256,661.0727367401123,621.3736666440964,0.005052019841969013,565.6956272125244,671.7933678627014,0.0008205451886169612,646.0715916156769,617.5609502792358,0.9999988079071045,577.4979226589203,695.6198041439056,1.0,634.3000230789185,777.7208986282349,0.9999998807907104,718.7719135284424,718.2193574905396,0.9999998807907104,663.3101744651794,638.2854464054108,0.9999996423721313
